authority,station_name,longitude,latitude,time,flood_depth_cm
台中市政府水利局,梧棲區向上路九段562巷50號附近,120.51652,24.22732,2025-11-10T13:49:00Z,0.0
農田水利署桃園管理處,新屋12-19,121.02967,24.99308,2025-11-10T13:10:00Z,3.2490000724792
嘉義縣政府水利處,嘉義縣-045,120.2264,23.4338,2025-11-10T13:02:45Z,0.0
嘉義縣政府水利處,嘉義縣-045,120.2264,23.4338,2025-11-10T13:02:45Z,0.0
水利署水文技術組,噶瑪蘭橋,121.82059,24.718948,2025-11-10T13:10:00Z,1.24
臺南市政府水利局,學甲區-光華里新頭港社區(編號266),120.1601,23.2589,2025-11-10T14:00:00Z,0.0
雲林縣政府水利處,光華村_村落1,120.21079,23.69321,2025-11-10T13:02:02Z,0.0
雲林縣政府水利處,光華村_村落1,120.21079,23.69321,2025-11-10T13:02:02Z,13.51710319519
雲林縣政府水利處,光華村_村落1,120.21079,23.69321,2025-11-10T13:02:02Z,-79.0
第五河川分署,108P014元長後湖村包千宮,120.31459,23.689644,2025-11-10T13:22:34Z,0.0
水利署水文技術組,永豐橋,120.78195,23.793327,2025-11-10T13:10:00Z,228.97
桃園巿政府水務局(智慧防汛),富國路一段84號,121.27677,25.028381,2025-11-10T13:05:00Z,0.0
嘉義縣政府水利處,CYC057 朴子市大葛里大槺榔社區,120.264854,23.457819,2025-11-10T13:28:14Z,0.0
屏東縣政府水利處,屏科大,120.5957,22.64153,2025-11-10T13:02:00Z,0.0
臺南市政府水利局,怡安培安路口,120.21233,23.040833,2025-11-10T13:10:00Z,0.74
農田水利署桃園管理處,新屋蚵9,121.03652,24.95512,2025-11-10T13:10:00Z,2.7539999485016
宜蘭縣政府水利資源處,蘇澳鎮南澳火車站附近,121.80069,24.463564,2025-11-10T13:30:00Z,0.0
